iteration,x1_overall_accuracy,x1_overall_f1,x1_group0_accuracy,x1_group0_f1,x1_group0_tpr,x1_group0_fpr,x1_group1_accuracy,x1_group1_f1,x1_group1_tpr,x1_group1_fpr,x2_overall_accuracy,x2_overall_f1,x2_group0_accuracy,x2_group0_f1,x2_group0_tpr,x2_group0_fpr,x2_group1_accuracy,x2_group1_f1,x2_group1_tpr,x2_group1_fpr,x3_overall_accuracy,x3_overall_f1,x3_group0_accuracy,x3_group0_f1,x3_group0_tpr,x3_group0_fpr,x3_group1_accuracy,x3_group1_f1,x3_group1_tpr,x3_group1_fpr,x4_overall_accuracy,x4_overall_f1,x4_group0_accuracy,x4_group0_f1,x4_group0_tpr,x4_group0_fpr,x4_group1_accuracy,x4_group1_f1,x4_group1_tpr,x4_group1_fpr
0,0.9572040816326531,0.9569711925831317,0.9509042877463931,0.9510030911268628,0.9490774313109338,0.04723634574380843,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9632448979591837,0.9631547754435262,0.962934362934363,0.9633001904832162,0.9643058577068729,0.03846153846153846,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9635510204081632,0.9634540507060019,0.9635439951229426,0.963887392195021,0.9645475787607768,0.037477447925209115,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9568775510204082,0.9569361618601102,0.9502540134119082,0.9511712620792007,0.9573765208282975,0.056995243562407746,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
1,0.9571224489795919,0.9569050623854419,0.9507417191627718,0.9508825843452708,0.949480299734107,0.04797441364605543,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9634081632653062,0.9633139163603622,0.9632595001016053,0.963613266143169,0.9643864313915075,0.03788748564867967,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.963530612244898,0.9634343310274396,0.9635033529770373,0.9638485672869459,0.9645475787607768,0.03755945546990323,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9566122448979593,0.9566630087724624,0.9497256655151392,0.9506331879745262,0.9564902102973168,0.057159258651795976,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
2,0.9572244897959183,0.9570183318161326,0.9509449298922984,0.9511205397772903,0.9498831681572799,0.04797441364605544,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.963469387755102,0.9633776457208372,0.9633814265393214,0.9637387870614756,0.9646281524454113,0.03788748564867967,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9635510204081632,0.9634555389755551,0.9635439951229426,0.9638902714425643,0.9646281524454113,0.03755945546990323,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9569591836734693,0.9570269182138865,0.9504165819955295,0.9513630879785209,0.9576182418822012,0.05691323601771363,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
3,0.9568775510204082,0.9566587912375663,0.9502540134119082,0.9504119584023829,0.9485939892031263,0.04805642119074955,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9634489795918367,0.9633592432973329,0.963340784393416,0.9637021780617964,0.9647087261300459,0.03805150073806791,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9635510204081632,0.9634555389755551,0.9635439951229426,0.9638902714425643,0.9646281524454113,0.03755945546990323,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9568775510204083,0.9569339430740585,0.9502540134119082,0.9511660182341968,0.957295947143663,0.05691323601771363,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
4,0.9574897959183672,0.9573009784739678,0.9514732777890673,0.9516897672592669,0.9509306260575296,0.04797441364605543,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9632448979591837,0.9631578141348464,0.962934362934363,0.963306189777285,0.9644670050761421,0.038625553550926686,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9635714285714286,0.9634752525808218,0.9635846372688478,0.963929072861957,0.9646281524454113,0.037477447925209115,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9568367346938775,0.9568882935814881,0.9501727291200976,0.9510729650054682,0.9570542260897591,0.05683122847301951,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
5,0.9569591836734694,0.9567432520456182,0.9504165819955295,0.9505743571955405,0.9489968576262993,0.048138428735443654,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.963469387755102,0.9633759709899276,0.9633814265393212,0.9637351853795563,0.9645475787607767,0.03780547810398557,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9635714285714286,0.9634752525808218,0.9635846372688478,0.9639290728619568,0.9646281524454113,0.037477447925209115,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9569795918367346,0.957045175407986,0.9504572241414347,0.9513909477340355,0.9577793892514704,0.05699524356240774,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
6,0.9570408163265306,0.956815442865886,0.9505791505791505,0.9507116839370192,0.9487551365723955,0.047564375922584876,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9632857142857142,0.9631974440328913,0.9630156472261735,0.963384576851671,0.964467005076142,0.03846153846153846,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9636122448979593,0.9635161804250998,0.9636659215606584,0.9640096027707331,0.9647087261300459,0.037395440380515,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9572857142857144,0.9573433710574278,0.9510668563300143,0.9519773510583788,0.9579405366207397,0.05592914548138429,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
7,0.9574693877551022,0.9572651129554263,0.9514326356431619,0.9516084538034794,0.9503666102650875,0.04748236837789077,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9633061224489795,0.9632138101591597,0.9630562893720789,0.9634161850915666,0.9643058577068729,0.03821551582745613,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.963591836734694,0.9634964731107291,0.9636252794147531,0.9639708256851057,0.9647087261300459,0.037477447925209115,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9569795918367348,0.9570420785253876,0.9504572241414346,0.9513766574061019,0.9578599629361051,0.057077251107101844,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
8,0.9572040816326532,0.9569801943234648,0.9509042877463931,0.9510331723542288,0.949238578680203,0.04740036083319665,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9633265306122449,0.9632366866742602,0.963096931517984,0.9634614659624082,0.9644670050761421,0.03829752337215024,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9635714285714286,0.9634752525808218,0.9635846372688478,0.9639290728619568,0.9646281524454113,0.037477447925209115,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9570408163265306,0.9570900729135656,0.9505791505791505,0.9514672341736393,0.9573765208282973,0.056339183204854856,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
9,0.9570816326530611,0.956856721494641,0.9506604348709613,0.9507917224374803,0.9489162839416647,0.047564375922584876,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9633673469387755,0.963277524839485,0.9631782158097948,0.9635416486934912,0.9645475787607767,0.03821551582745613,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.963530612244898,0.9634343310274396,0.9635033529770373,0.9638485672869459,0.9645475787607768,0.03755945546990323,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561,0.9570408163265304,0.9570979430438751,0.9505791505791504,0.9514888011788967,0.9576182418822012,0.05658520583893718,0.963558106169297,0.9630061170987475,0.9621653084982535,0.03508771929824561
