iteration,x1_overall_accuracy,x1_overall_f1,x1_group1_accuracy,x1_group1_f1,x1_group1_tpr,x1_group1_fpr,x1_group0_accuracy,x1_group0_f1,x1_group0_tpr,x1_group0_fpr,x2_overall_accuracy,x2_overall_f1,x2_group1_accuracy,x2_group1_f1,x2_group1_tpr,x2_group1_fpr,x2_group0_accuracy,x2_group0_f1,x2_group0_tpr,x2_group0_fpr,x3_overall_accuracy,x3_overall_f1,x3_group1_accuracy,x3_group1_f1,x3_group1_tpr,x3_group1_fpr,x3_group0_accuracy,x3_group0_f1,x3_group0_tpr,x3_group0_fpr,x4_overall_accuracy,x4_overall_f1,x4_group1_accuracy,x4_group1_f1,x4_group1_tpr,x4_group1_fpr,x4_group0_accuracy,x4_group0_f1,x4_group0_tpr,x4_group0_fpr,x5_overall_accuracy,x5_overall_f1,x5_group1_accuracy,x5_group1_f1,x5_group1_tpr,x5_group1_fpr,x5_group0_accuracy,x5_group0_f1,x5_group0_tpr,x5_group0_fpr,x6_overall_accuracy,x6_overall_f1,x6_group1_accuracy,x6_group1_f1,x6_group1_tpr,x6_group1_fpr,x6_group0_accuracy,x6_group0_f1,x6_group0_tpr,x6_group0_fpr,x7_overall_accuracy,x7_overall_f1,x7_group1_accuracy,x7_group1_f1,x7_group1_tpr,x7_group1_fpr,x7_group0_accuracy,x7_group0_f1,x7_group0_tpr,x7_group0_fpr,x8_overall_accuracy,x8_overall_f1,x8_group1_accuracy,x8_group1_f1,x8_group1_tpr,x8_group1_fpr,x8_group0_accuracy,x8_group0_f1,x8_group0_tpr,x8_group0_fpr
0,0.856408163265306,0.8568189345178502,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8554256276065091,0.8588602445899127,0.8563474387527839,0.14554938583207136,0.8556734693877551,0.8560095946767102,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8539537165753536,0.8573072201330992,0.8536430162265353,0.14571765101800435,0.8591632653061224,0.8599052203107755,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.860945293973342,0.8649326823500305,0.866131084950684,0.14453979471647319,0.8578979591836735,0.8585888842516015,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8584103360863521,0.8623599552301859,0.862869869551384,0.14630657916876996,0.8599183673469388,0.8606663424115222,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8624580914220296,0.8664238578428873,0.8677219217308304,0.1431095406360424,0.8597959183673469,0.8604218206294567,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.862212772916837,0.8659589460293866,0.8657333757556475,0.1415110213696786,0.8600612244897959,0.8607353381646764,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8627442963447542,0.8665600358184402,0.8670060451797645,0.14176341914857818,0.8608775510204082,0.8614011299311307,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8643797530460381,0.8678760688904573,0.8665287941457206,0.13789331987211845
1,0.8561224489795917,0.8566244513862119,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8548532177610598,0.8584934345086236,0.8569042316258352,0.14731617028436814,0.855265306122449,0.8555738296584284,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8531359882247117,0.8564542653177796,0.8524498886414253,0.14613831398283694,0.8589591836734692,0.8597142524981459,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.860536429798021,0.8645595350976881,0.8658924594336621,0.1451287228672388,0.8579183673469387,0.8586408691088018,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8584512225038842,0.8624602055658706,0.863347120585428,0.14672724213360255,0.86,0.8606958489361884,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8626216370921578,0.8664842225817292,0.8671651288577792,0.14218408211341074,0.8598775510204082,0.8605220125285226,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8623763185869654,0.8661573592658814,0.866131084950684,0.14159515396264513,0.8601020408163265,0.8608212591375345,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8628260691798184,0.8667245855968494,0.8677219217308304,0.14235234729934376,0.8607551020408163,0.8612847498042651,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8641344345408457,0.8676474920463413,0.866369710467706,0.13822985024398451
2,0.8558571428571428,0.8562405729565971,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8543216943331425,0.8577330710249296,0.854836143811645,0.14622244657580347,0.8558979591836735,0.8563006192448953,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8544034671682067,0.8578874549748878,0.8549156856506522,0.14613831398283694,0.8588571428571428,0.8596158873820999,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8603319977103606,0.864367447865869,0.8657333757556475,0.14538112064613834,0.8581836734693878,0.8589761818772855,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8589827459318016,0.8631117743977487,0.864858415526567,0.14723203769140164,0.8596122448979592,0.86031334059305,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8618447951590482,0.8657363894128407,0.8664492523067133,0.1430254080430759,0.8597142857142857,0.8603417847311237,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8620492272467085,0.8658045777853601,0.8655742920776328,0.14167928655561163,0.8602448979591838,0.8609436894747459,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8631122741025432,0.8669659366018394,0.8677219217308304,0.14176341914857815,0.8608571428571429,0.8613723433086921,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8643388666285059,0.8678204442537147,0.866369710467706,0.13780918727915195
3,0.8565714285714287,0.8570153745823773,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8557527189467659,0.8592419250882444,0.857142857142857,0.1457176510180044,0.8560204081632653,0.8563494451104231,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8546487856733993,0.8579788871036726,0.8541998090995863,0.14487632508833923,0.8592040816326529,0.8599802728903209,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8610270668084061,0.8650777148960177,0.8666878778237352,0.14496045768130575,0.8579795918367348,0.858733394950351,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8585738817564804,0.862639667407002,0.8639039134584792,0.14706377250546862,0.86,0.8606558901593157,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8626216370921579,0.8664085793203473,0.866608335984728,0.14159515396264513,0.859673469387755,0.860260737832442,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8619674544116445,0.8656476465566696,0.8649379573655743,0.14117449099781254,0.8603877551020409,0.8610714696681662,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8633984790252679,0.8672167246791644,0.8678014635698377,0.14125862359077906,0.8608571428571429,0.8613779655008891,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.864338866628506,0.8678309160427339,0.8664492523067133,0.13789331987211845
4,0.8565714285714287,0.8569838546692544,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8557527189467659,0.8591876928183453,0.8566656061088133,0.14521285546020526,0.8560408163265307,0.8563670447260775,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8546896720909315,0.8580137854816083,0.8541998090995865,0.14479219249537273,0.8588367346938776,0.8596493596702428,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8602911112928285,0.8644286324480029,0.8664492523067133,0.14622244657580347,0.857938775510204,0.8586643154123518,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8584921089214163,0.8625064525962072,0.8634266624244352,0.14672724213360255,0.86,0.8607245375321203,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8626216370921579,0.8665388271037405,0.8675628380528158,0.1426047450782433,0.8594489795918366,0.8600794479731665,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8615177038187912,0.865288722654263,0.8650970410435889,0.14226821470637724,0.8600816326530613,0.8607810728825634,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8627851827622864,0.8666474068820967,0.8674037543748011,0.14209994952044422,0.8609183673469387,0.8614305070141093,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8644615258811025,0.8679346273013263,0.8664492523067133,0.1376409220932189
5,0.8561836734693876,0.8566670212988449,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.854975877013656,0.8585699373909035,0.8568246897868279,0.1469796399125021,0.8554489795918369,0.855885484339723,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8535039659825007,0.8570679101029123,0.8545179764556157,0.14756856806326768,0.8587755102040816,0.8596028789713953,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8601684520402323,0.8643370878809101,0.8665287941457206,0.14655897694766953,0.857591836734694,0.8583803387999617,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8577970398233706,0.8619493397232614,0.8635857461024499,0.1483257613999663,0.8596122448979592,0.8603073248516369,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8618447951590482,0.865724400348,0.866369710467706,0.14294127545010937,0.8596938775510204,0.8603124509150314,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8620083408291767,0.8657468260336739,0.8654152083996182,0.14159515396264513,0.8603061224489795,0.8609959576256009,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8632349333551395,0.8670685986591925,0.8677219217308304,0.1415110213696786,0.8609387755102039,0.8614367356760609,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8645024122986343,0.8679480959072434,0.8662901686286987,0.13738852431431936
6,0.8559795918367347,0.8564408874601958,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.854567012838335,0.8581170734947335,0.8561883550747692,0.14714790509843514,0.8560612244897959,0.8564363238341514,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8547305585084635,0.8581470772375501,0.8549156856506522,0.14546525323910484,0.8586938775510203,0.8594755689866751,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8600049063701037,0.8640900895110899,0.8657333757556475,0.14605418138987042,0.8580612244897958,0.858797727105994,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.858737427426609,0.8627670676747813,0.8638243716194719,0.14664310954063603,0.8599591836734694,0.8606156044608854,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8625398642570936,0.8663303638057344,0.8665287941457206,0.14167928655561163,0.8596530612244898,0.8603010148342403,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8619265679941124,0.86572380129312,0.8657333757556475,0.14209994952044422,0.8600408163265306,0.8607518816219188,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.862703409927222,0.8665895662564486,0.8674832962138084,0.14235234729934376,0.8608367346938776,0.8613435308849101,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8642979802109739,0.8677647147741274,0.8662106267896913,0.13772505468618543
7,0.8569183673469387,0.8573761148811079,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8564477880448115,0.859960672723601,0.8579382755329302,0.14512872286723874,0.8554897959183673,0.8558022689738297,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8535857388175648,0.8569053070596768,0.8529271396754693,0.1457176510180044,0.8588367346938774,0.8596613175115475,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8602911112928284,0.8644523397483111,0.866608335984728,0.1463907117617365,0.8579591836734695,0.8587216256816858,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8585329953389483,0.862616046782183,0.8639834552974863,0.14723203769140164,0.8597346938775511,0.8604409907661937,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8620901136642407,0.8659860136299804,0.8667674196627425,0.14285714285714285,0.8596530612244898,0.8602718101428897,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8619265679941124,0.8656672683495218,0.8653356665606109,0.14167928655561163,0.86,0.8606944373178195,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8626216370921581,0.8664787986964496,0.8671651288577792,0.14218408211341074,0.8609387755102039,0.8614480352698172,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8645024122986343,0.8679692551107364,0.8664492523067133,0.13755678950025238
8,0.8564489795918367,0.8568930316703381,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8555074004415734,0.8590015191801758,0.8569042316258352,0.14597004879690392,0.8557142857142856,0.8560648427931462,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8540354894104176,0.8574207022890626,0.8538816417435572,0.14580178361097088,0.8588163265306122,0.8596025005439593,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8602502248752965,0.8643369676550775,0.8660515431116768,0.1458859162039374,0.857734693877551,0.8585418648363147,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8580832447460952,0.8622630208956014,0.8641425389755011,0.14832576139996637,0.8596938775510203,0.8604227686527481,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8620083408291765,0.8659480669560973,0.8670060451797645,0.14327780582197544,0.8599795918367346,0.8606092374864479,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8625807506746259,0.866328918089416,0.866131084950684,0.14117449099781257,0.860142857142857,0.8608339292306221,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8629078420148827,0.8667523277222927,0.8674037543748011,0.14184755174154468,0.8608775510204082,0.861390045538835,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8643797530460381,0.8678557415477994,0.866369710467706,0.13772505468618543
9,0.8564081632653061,0.856911898448561,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8554256276065091,0.8590506896331866,0.8575405663378938,0.14681137472656908,0.8556938775510204,0.8560069599838537,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8539946029928859,0.8572977136374307,0.8534043907095132,0.14538112064613834,0.8585510204081633,0.8592629355435316,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8597187014473792,0.8636801681859735,0.8644607063315304,0.14529698805317182,0.8581428571428572,0.8588558107528287,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8589009730967373,0.8628816294783643,0.8636652879414572,0.14613831398283694,0.8598163265306121,0.8605275665631867,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.862253659334369,0.8661543999386235,0.8670060451797645,0.14277301026417635,0.8597755102040816,0.8604234093972523,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.862171886499305,0.8659643816906167,0.8659720012726694,0.14184755174154468,0.859938775510204,0.8606308506365007,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8624989778395616,0.8663549047698819,0.8670060451797645,0.14226821470637724,0.8609387755102041,0.8614650785381947,0.8573873359954363,0.8546511627906977,0.8546511627906977,0.13997760358342662,0.8645024122986343,0.8680013568109002,0.8666878778237352,0.13780918727915195
