iteration,x1_overall_accuracy,x1_overall_f1,x1_group0_accuracy,x1_group0_f1,x1_group0_tpr,x1_group0_fpr,x1_group1_accuracy,x1_group1_f1,x1_group1_tpr,x1_group1_fpr,x2_overall_accuracy,x2_overall_f1,x2_group0_accuracy,x2_group0_f1,x2_group0_tpr,x2_group0_fpr,x2_group1_accuracy,x2_group1_f1,x2_group1_tpr,x2_group1_fpr,x3_overall_accuracy,x3_overall_f1,x3_group0_accuracy,x3_group0_f1,x3_group0_tpr,x3_group0_fpr,x3_group1_accuracy,x3_group1_f1,x3_group1_tpr,x3_group1_fpr,x4_overall_accuracy,x4_overall_f1,x4_group0_accuracy,x4_group0_f1,x4_group0_tpr,x4_group0_fpr,x4_group1_accuracy,x4_group1_f1,x4_group1_tpr,x4_group1_fpr,x5_overall_accuracy,x5_overall_f1,x5_group0_accuracy,x5_group0_f1,x5_group0_tpr,x5_group0_fpr,x5_group1_accuracy,x5_group1_f1,x5_group1_tpr,x5_group1_fpr,x6_overall_accuracy,x6_overall_f1,x6_group0_accuracy,x6_group0_f1,x6_group0_tpr,x6_group0_fpr,x6_group1_accuracy,x6_group1_f1,x6_group1_tpr,x6_group1_fpr
0,0.8980816326530612,0.895867441053713,0.8908630512766408,0.8863420163501292,0.8726032129901536,0.09168936205331353,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9009183673469388,0.8988607930795419,0.8967292677780122,0.8927567346972669,0.8796856106408707,0.08698522736650986,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008775510204082,0.8988525453334937,0.8966448617851867,0.8927429939979669,0.8802902055622733,0.08772798547495256,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.897734693877551,0.8958811012558929,0.8901456003376239,0.8865460794704043,0.8782173086888927,0.09845671370801355,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9006530612244897,0.8986339381052468,0.8961806288246464,0.8922748118026407,0.8801174641561583,0.08847074358339524,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8984897959183673,0.8964067778841069,0.8917071112048957,0.8875214146810774,0.8757125583002247,0.0930098209127672,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
1,0.8981224489795918,0.895918029354897,0.8909474572694661,0.886450461089307,0.8728623250993265,0.09177189073202939,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008163265306123,0.8987713839942106,0.8965182527959484,0.8925705123431514,0.8797719813439283,0.087480399438805,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988338301562134,0.8966026587887738,0.8927039106013266,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8982653061224489,0.896463677588225,0.8912428782443553,0.8877831920049167,0.8801174641561582,0.09812659899315013,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9003877551020408,0.8983907698143808,0.8956319898712809,0.8917672716082624,0.8801174641561582,0.08954361640670135,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8981224489795918,0.896072781303839,0.8909474572694661,0.886830315527188,0.8757125583002247,0.09449533712965255,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
2,0.8980204081632654,0.8958110101049898,0.8907364422874023,0.8862329406639778,0.8725168422870963,0.09185441941074524,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008979591836734,0.89884197172829,0.8966870647815994,0.8927171840414754,0.8796856106408707,0.08706775604522572,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008775510204083,0.8988525398763783,0.8966448617851868,0.8927429700277758,0.8802902055622733,0.08772798547495254,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8978163265306122,0.8959640357377712,0.8903144123232749,0.886727946384749,0.8783036793919503,0.09820912767186596,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9005714285714286,0.8985587619628594,0.8960118168389954,0.8921170767527993,0.8801174641561582,0.08880085829825865,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8990816326530612,0.8970556642905818,0.8929309981008652,0.8889034154203442,0.8777854551736051,0.09259717751918793,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
3,0.8984489795918368,0.8962448030859755,0.89162270521207,0.887141533804648,0.8733805493176716,0.09094660394487085,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9009183673469388,0.8988523132395013,0.8967292677780121,0.8927377002233791,0.8795128692347556,0.08682017000907816,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.900857142857143,0.898833824699098,0.8966026587887741,0.8927038866311355,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8983061224489797,0.8964599629571319,0.8913272842371808,0.8877624826398088,0.8793401278286405,0.09721878352727574,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9005714285714285,0.89855916905442,0.8960118168389956,0.8921188317435735,0.8801174641561582,0.08880085829825865,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8985510204081634,0.896475348062746,0.8918337201941339,0.887656131255424,0.8760580411124547,0.09309234959148303,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
4,0.8980408163265305,0.8958512681966203,0.8907786452838151,0.8863108902707192,0.8730350665054413,0.0922670628043245,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008775510204081,0.8988276471817009,0.8966448617851868,0.8926882775520966,0.8797719813439283,0.08723281340265743,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988338301562134,0.8966026587887738,0.8927039106013266,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8979795918367347,0.8961177873821912,0.890652036294577,0.8870312583629507,0.8785627915011229,0.0977964842782867,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9005918367346938,0.8986112841228254,0.8960540198354083,0.8922317880586973,0.8808084297806184,0.08937855904926963,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8985102040816326,0.896462298329365,0.8917493142013082,0.8876402440162031,0.8764898946277422,0.09367005034249402,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
5,0.8976938775510204,0.8954772930871161,0.8900611943447985,0.885519350914407,0.8719122473656935,0.09259717751918792,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988003749360696,0.896602658788774,0.8926298218672294,0.8795992399378132,0.08715028472394158,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008367346938776,0.8988151095218176,0.8965604557923612,0.8926648032344952,0.8802902055622733,0.08789304283238428,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8978163265306123,0.8959037301788474,0.890314412323275,0.8865821202739622,0.8771808602522025,0.09713625484855985,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9007142857142857,0.8987077121052139,0.8963072378138847,0.8924330834883634,0.8804629469683886,0.08855327226211109,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8983469387755102,0.8962604970428609,0.8914116902300063,0.8872173075375857,0.8753670754879944,0.09325740694891474,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
6,0.897795918367347,0.8955622063222561,0.8902722093268622,0.8856856331110763,0.871825876662636,0.0921020054468928,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008775510204081,0.8988319591414587,0.8966448617851867,0.8926981130046122,0.8798583520469857,0.08731534208137327,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988338301562134,0.8966026587887738,0.8927039106013266,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8978775510204082,0.8960830131352929,0.8904410213125133,0.8869935821234576,0.8795128692347556,0.09911694313774036,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9007551020408163,0.8987668677434002,0.8963916438067103,0.8925611897230014,0.880894800483676,0.08880085829825865,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8986122448979591,0.8965264293611029,0.891960329183372,0.8877799343063515,0.8757989290032822,0.09259717751918793,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
7,0.8979183673469386,0.8957365066934587,0.8905254273053387,0.8860845511848999,0.8728623250993264,0.09259717751918792,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9007959183673471,0.898744418019705,0.8964760497995358,0.892513401104153,0.8795992399378132,0.08739787076008912,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988338301562134,0.8966026587887738,0.8927039106013266,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8980612244897959,0.8962172745186415,0.8908208482802278,0.8872590812992023,0.8789082743133528,0.09779648427828672,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9005510204081631,0.8985535429771898,0.8959696138425828,0.8921099890390749,0.8803765762653308,0.08913097301312208,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8985306122448978,0.8964342666009213,0.8917915171977209,0.8875741715825066,0.8755398168941095,0.09267970619790376,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
8,0.8978163265306123,0.8956130519911571,0.890314412323275,0.8858120323092452,0.8723441008809811,0.09251464884047207,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008979591836734,0.8988463161623249,0.8966870647815994,0.8927271555750181,0.8797719813439283,0.08715028472394158,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988338301562134,0.8966026587887738,0.8927039106013266,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8979183673469388,0.8960646049776287,0.8905254273053387,0.8869360287382776,0.8784764207980654,0.09796154163571842,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.900734693877551,0.8987602004515386,0.8963494408102974,0.8925476836541334,0.8811539125928485,0.08913097301312208,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8986326530612246,0.8965699665481154,0.8920025321797846,0.8878733500612982,0.8763171532216273,0.09300982091276719,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
9,0.8975102040816326,0.8953131685921993,0.8896813673770837,0.8851870938641175,0.8719122473656935,0.09333993562763061,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9007755102040816,0.8987256337383862,0.896433846803123,0.8924740147003132,0.8795992399378132,0.08748039943880499,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9008571428571429,0.8988338301562134,0.8966026587887738,0.8927039106013266,0.8802902055622733,0.0878105141536684,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8979387755102038,0.8960638566877149,0.8905676303017513,0.8869352868566276,0.8780445672827776,0.09746636956342329,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.9007755102040818,0.8988014701200155,0.8964338468031229,0.8926335519981691,0.881240283295906,0.0890484443344062,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088,0.8985102040816326,0.896470479355769,0.8917493142013083,0.8876676408829083,0.8765762653307998,0.09375257902120988,0.904840940525588,0.9043913285158423,0.8993919292426754,0.08970099667774088
